"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Hydroxy-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Keto-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|N-desalkyl-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Hydroxy-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Keto-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|N-desalkyl-Itraconazole|Concentration in container [µmol/l]","Organism|Lumen|Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Hydroxy-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Keto-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|N-desalkyl-Itraconazole|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,2.0799E-05,7.160558E-07,2.930267E-08,3.75799E-09,7.687808E-05,3.818669E-06,1.671412E-07,3.914997E-08,0.0004540464,0,0,0
0,12,0.0003179753,3.128501E-05,1.422511E-06,3.485812E-07,0.0006500097,8.312798E-05,3.968479E-06,1.552386E-06,0.002068199,0,0,0
0,18,0.001292406,0.000198248,9.127987E-06,3.133611E-06,0.002101068,0.0003926138,1.889895E-05,9.573243E-06,0.00495762,0,0,0
0,24,0.003224456,0.0006409457,2.932875E-05,1.226804E-05,0.004578238,0.0010811,5.161784E-05,3.042676E-05,0.00854366,0,0,0
0,30,0.00605459,0.001460511,6.598864E-05,3.157939E-05,0.007888024,0.002206511,0.0001038045,6.808717E-05,0.0126155,0,0,0
0,36,0.009684234,0.00268993,0.0001196346,6.2796E-05,0.01201184,0.003780705,0.000174761,0.0001229468,0.01744936,0,0,0
0,42,0.01414442,0.004363799,0.0001909032,0.0001062408,0.01700366,0.005852251,0.0002657066,0.0001950149,0.02293206,0,0,0
0,48,0.01937551,0.006526619,0.0002808476,0.0001621289,0.02271348,0.008456322,0.0003771753,0.0002844337,0.02871329,0,0,0
0,54,0.02526191,0.009190192,0.0003889824,0.0002301984,0.02908476,0.01158713,0.0005077336,0.0003900451,0.03503025,0,0,0
0,60,0.03181718,0.01236408,0.0005147777,0.0003096489,0.03619321,0.0152659,0.0006573175,0.0005105957,0.04204843,0,0,0
0,66,0.03909995,0.01608152,0.0006587419,0.000399915,0.0440559,0.01953881,0.0008269747,0.0006456478,0.04941974,0,0,0
0,72,0.04700877,0.02036897,0.0008210893,0.0005007242,0.05250528,0.0244112,0.001015987,0.0007946608,0.0570103,0,0,0
0,78,0.05543863,0.02521499,0.00100055,0.0006113957,0.06149125,0.02985524,0.001222361,0.000956096,0.06497563,0,0,0
0,84,0.06436871,0.03060416,0.001195888,0.0007308823,0.07099599,0.03585891,0.001445045,0.001128385,0.07315451,0,0,0
0,90,0.07370136,0.03652074,0.001406062,0.000858205,0.0808601,0.04239401,0.00168257,0.001310177,0.08133536,0,0,0
0,96,0.08329293,0.04292176,0.001629169,0.0009923069,0.09094938,0.04939773,0.00193229,0.001499738,0.08952171,0,0,0
0,102,0.0930376,0.04974763,0.001862907,0.00113192,0.1011717,0.05680206,0.00219163,0.001695147,0.0977101,0,0,0
0,108,0.1028596,0.0569367,0.002105107,0.001275745,0.1114587,0.06454229,0.002458363,0.00189463,0.1058992,0,0,0
