"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Hydroxy-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Keto-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|N-desalkyl-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Hydroxy-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Keto-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|N-desalkyl-Itraconazole|Concentration in container [µmol/l]","Organism|Lumen|Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Hydroxy-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Keto-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|N-desalkyl-Itraconazole|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,5.221339E-05,1.796118E-06,7.415416E-08,9.568474E-09,0.0001908661,9.519617E-06,4.201544E-07,9.900334E-08,0.001100496,0,0,0
0,12,0.0007365557,7.42487E-05,3.393704E-06,8.428843E-07,0.00145606,0.0001936925,9.287821E-06,3.685239E-06,0.004313904,0,0,0
0,18,0.002597457,0.000427951,1.971774E-05,6.977086E-06,0.003960183,0.0008117272,3.905355E-05,2.048047E-05,0.008230286,0,0,0
0,24,0.005573675,0.001208897,5.50088E-05,2.413581E-05,0.007557404,0.001937772,9.180694E-05,5.658071E-05,0.01301381,0,0,0
0,30,0.009617136,0.002480225,0.0001108927,5.519375E-05,0.01221667,0.003619246,0.0001681714,0.0001135496,0.01845763,0,0,0
0,36,0.01458339,0.004287497,0.0001881885,0.0001011124,0.01770974,0.005880739,0.000267835,0.0001914205,0.02421314,0,0,0
0,42,0.02030156,0.006635635,0.0002858825,0.0001614649,0.02393521,0.008707612,0.0003887147,0.0002883537,0.03047647,0,0,0
0,48,0.02673068,0.009526871,0.0004029841,0.0002350246,0.0309051,0.01211079,0.0005301675,0.0004024264,0.03733367,0,0,0
0,54,0.03387805,0.01298136,0.0005393713,0.00032075,0.038613,0.01611926,0.0006924279,0.0005324756,0.04457995,0,0,0
0,60,0.04164201,0.01701562,0.0006947999,0.0004179029,0.04688704,0.02073373,0.0008745468,0.0006774114,0.05195955,0,0,0
0,66,0.04987968,0.02161146,0.0008676929,0.0005254793,0.05561906,0.02591567,0.001074062,0.0008353058,0.05956542,0,0,0
0,72,0.05852663,0.02673821,0.0010562,0.0006421098,0.06477947,0.03163295,0.001289106,0.001004074,0.06745333,0,0,0
0,78,0.06756099,0.03237188,0.001258959,0.0007664932,0.07434314,0.03786439,0.001518494,0.001182058,0.07551572,0,0,0
0,84,0.07690494,0.03848787,0.001474752,0.0008975674,0.0841864,0.04457594,0.001760699,0.001367879,0.08358117,0,0,0
0,90,0.08644288,0.04504192,0.001701774,0.001034304,0.09419809,0.05170806,0.002013358,0.001559967,0.09165085,0,0,0
0,96,0.09608717,0.05197717,0.001937932,0.001175565,0.1043006,0.05919702,0.002274162,0.001756647,0.09972235,0,0,0
0,102,0.1057741,0.05923558,0.002181265,0.001320216,0.1144356,0.06698241,0.002541103,0.001956382,0.1077944,0,0,0
0,108,0.1154565,0.06676175,0.002430027,0.00146723,0.1245589,0.07500812,0.002812444,0.002157854,0.1158673,0,0,0
0,114,0.1250985,0.07450416,0.002682689,0.001615729,0.1346363,0.08322292,0.003086683,0.002359965,0.1239419,0,0,0
0,120,0.1346725,0.08241577,0.002937925,0.001764975,0.1446403,0.09158047,0.003362533,0.002561815,0.132019,0,0,0
0,126,0.1441568,0.09045406,0.00319459,0.001914364,0.1545488,0.1000393,0.003638888,0.002762674,0.1400995,0,0,0
0,132,0.1535341,0.09858102,0.0034517,0.002063399,0.1643442,0.1085627,0.003914808,0.002961953,0.1481844,0,0,0
0,138,0.1627905,0.106763,0.003708416,0.002211676,0.1740112,0.1171183,0.004189494,0.003159181,0.156271,0,0,0
0,144,0.1719132,0.1149702,0.003964023,0.00235887,0.1835357,0.1256776,0.004462267,0.003353984,0.1643577,0,0,0
0,150,0.1808915,0.1231766,0.004217908,0.002504718,0.1929061,0.1342154,0.004732543,0.003546069,0.1724446,0,0,0
0,156,0.1897165,0.131359,0.004469549,0.002649009,0.2021133,0.14271,0.004999836,0.003735202,0.1805317,0,0,0
0,162,0.1983817,0.1394978,0.004718512,0.002791574,0.2111501,0.1511428,0.005263743,0.003921209,0.1886191,0,0,0
0,168,0.2068813,0.147576,0.004964436,0.002932282,0.2200082,0.1594981,0.005523938,0.004103962,0.1966881,0,0,0
0,174,0.2151907,0.1555785,0.005207008,0.003071033,0.2286206,0.1677604,0.005780084,0.004283371,0.2044397,0,0,0
0,180,0.2231481,0.1634825,0.005445634,0.003207741,0.2367646,0.1758928,0.006031091,0.004459309,0.2118235,0,0,0
0,186,0.2306443,0.1712431,0.005679005,0.003342222,0.2444057,0.1838405,0.006275267,0.004631391,0.2190383,0,0,0
0,192,0.2376705,0.1788181,0.005905946,0.003474155,0.2515467,0.1915666,0.006511606,0.004799132,0.2260937,0,0,0
0,198,0.2442319,0.1861776,0.006125689,0.003603213,0.2581957,0.1990465,0.00673952,0.004962138,0.232999,0,0,0
0,204,0.2503349,0.1933005,0.006337747,0.003729132,0.2643486,0.2062631,0.006958642,0.005120143,0.2396655,0,0,0
0,210,0.2559368,0.200169,0.006541701,0.003851732,0.2699372,0.2131971,0.007168486,0.005272971,0.2460644,0,0,0
0,216,0.2610108,0.2067615,0.00673699,0.00397086,0.2749637,0.2198253,0.007368417,0.005420435,0.2522804,0,0,0
0,222,0.2655677,0.2130598,0.00692315,0.004086366,0.2794445,0.2261327,0.007558077,0.005562357,0.2583202,0,0,0
0,228,0.269624,0.2190517,0.007099911,0.004198119,0.2833979,0.2321103,0.007737302,0.005698611,0.2641905,0,0,0
0,234,0.2731974,0.2247297,0.007267136,0.004306026,0.2868432,0.2377533,0.007906036,0.005829129,0.2698981,0,0,0
0,240,0.2763062,0.2300898,0.007424776,0.004410031,0.2898007,0.2430598,0.008064304,0.005953889,0.2754493,0,0,0
0,246,0.2789701,0.2351307,0.00757286,0.004510111,0.2922916,0.2480303,0.008212195,0.006072909,0.2808509,0,0,0
0,252,0.2812095,0.2398536,0.007711468,0.004606265,0.2943383,0.2526676,0.008349848,0.006186232,0.2861093,0,0,0
0,258,0.2830455,0.2442611,0.007840729,0.004698512,0.2959639,0.256976,0.008477448,0.006293926,0.2912307,0,0,0
0,264,0.2845,0.2483578,0.007960812,0.004786885,0.2971922,0.2609613,0.008595218,0.006396073,0.2962215,0,0,0
0,270,0.285595,0.2521493,0.008071923,0.00487143,0.2980469,0.2646306,0.008703413,0.006492771,0.3010876,0,0,0
0,276,0.2863528,0.2556426,0.008174294,0.004952202,0.2985523,0.2679922,0.008802317,0.006584129,0.305835,0,0,0
0,282,0.2867958,0.2588457,0.008268183,0.005029266,0.2987322,0.271055,0.008892233,0.006670269,0.3104694,0,0,0
0,288,0.286946,0.2617674,0.008353869,0.005102693,0.2986104,0.2738288,0.008973484,0.006751318,0.3149964,0,0,0
0,294,0.2868252,0.2644167,0.008431645,0.005172563,0.2982103,0.276324,0.009046406,0.00682741,0.3194214,0,0,0
0,300,0.2864551,0.2668039,0.00850182,0.005238959,0.2975548,0.2785515,0.009111348,0.006898689,0.3237497,0,0,0
0,306,0.2858563,0.2689392,0.008564711,0.005301969,0.2966661,0.2805224,0.009168666,0.0069653,0.3279862,0,0,0
0,312,0.2850493,0.2708334,0.008620642,0.005361686,0.2955657,0.2822484,0.009218725,0.007027396,0.3321248,0,0,0
0,318,0.2840327,0.2724967,0.008669924,0.005418207,0.2942224,0.283739,0.009261815,0.007085129,0.3360305,0,0,0
0,324,0.2827742,0.2739341,0.008712682,0.00547162,0.2926197,0.2849949,0.009297908,0.007138613,0.339813,0,0,0
0,330,0.2812815,0.2751467,0.008748924,0.005521972,0.2907762,0.2860168,0.00932702,0.007187888,0.3434769,0,0,0
0,336,0.2795713,0.2761364,0.008778716,0.00556928,0.2887109,0.2868081,0.009349271,0.007232978,0.3470255,0,0,0
0,342,0.2776606,0.2769075,0.008802197,0.005613552,0.2864413,0.2873746,0.009364849,0.00727391,0.3504618,0,0,0
0,348,0.2755647,0.2774655,0.008819536,0.005654804,0.2839837,0.2877222,0.009373956,0.007310725,0.3537894,0,0,0
0,354,0.2732987,0.277816,0.008830913,0.005693058,0.2813539,0.2878576,0.009376802,0.007343477,0.357012,0,0,0
0,360,0.2708767,0.2779653,0.008836521,0.005728346,0.2785672,0.2877876,0.009373606,0.007372225,0.3601332,0,0,0
0,366,0.2683128,0.27792,0.008836557,0.005760704,0.2756385,0.2875193,0.009364592,0.00739704,0.3631565,0,0,0
0,372,0.2656206,0.277687,0.008831228,0.005790175,0.2725823,0.2870603,0.009349992,0.007417995,0.3660854,0,0,0
0,378,0.2628132,0.2772733,0.008820745,0.005816806,0.2694126,0.2864181,0.009330041,0.007435173,0.3689233,0,0,0
0,384,0.2599034,0.2766862,0.008805323,0.005840649,0.2661428,0.2856005,0.009304978,0.00744866,0.3716737,0,0,0
0,390,0.2569034,0.275933,0.00878518,0.005861759,0.262786,0.2846155,0.009275043,0.007458548,0.3743398,0,0,0
0,396,0.2538251,0.2750215,0.008760539,0.005880196,0.2593547,0.283471,0.009240485,0.007464935,0.3769249,0,0,0
0,402,0.2506798,0.273959,0.008731619,0.005896023,0.2558608,0.2821753,0.009201542,0.00746792,0.3794321,0,0,0
0,408,0.2474784,0.2727536,0.008698651,0.00590931,0.2523158,0.2807365,0.009158467,0.007467613,0.3818646,0,0,0
0,414,0.2442313,0.2714128,0.008661853,0.005920125,0.2487306,0.2791628,0.009111499,0.00746412,0.3842254,0,0,0
0,420,0.2409482,0.2699445,0.008621454,0.005928542,0.2451153,0.2774625,0.009060888,0.007457558,0.3865174,0,0,0
0,426,0.2376385,0.2683564,0.008577674,0.005934637,0.2414798,0.2756436,0.009006871,0.007448043,0.3887435,0,0,0
0,432,0.2343109,0.2666564,0.008530737,0.005938491,0.2378331,0.2737143,0.00894969,0.007435694,0.3909065,0,0,0
0,438,0.2309737,0.2648521,0.00848086,0.005940184,0.2341839,0.2716827,0.008889582,0.007420636,0.393009,0,0,0
0,444,0.2276347,0.2629511,0.008428262,0.005939802,0.23054,0.2695567,0.00882678,0.007402994,0.3950537,0,0,0
0,450,0.2243011,0.2609609,0.008373153,0.00593743,0.2269091,0.2673442,0.008761513,0.007382896,0.3970431,0,0,0
0,456,0.2209795,0.2588891,0.008315747,0.005933157,0.2232979,0.265053,0.008694007,0.007360471,0.3989798,0,0,0
0,462,0.2176762,0.256743,0.008256247,0.005927071,0.2197129,0.2626906,0.008624482,0.00733585,0.400866,0,0,0
0,468,0.214397,0.2545297,0.008194858,0.005919266,0.2161599,0.2602645,0.008553154,0.007309166,0.4027041,0,0,0
0,474,0.2111471,0.2522563,0.008131775,0.005909831,0.2126442,0.257782,0.008480232,0.007280552,0.4044962,0,0,0
0,480,0.2079314,0.2499297,0.008067191,0.00589886,0.2091709,0.2552501,0.00840592,0.007250138,0.4062444,0,0,0
0,486,0.2047543,0.2475566,0.008001289,0.005886444,0.2057441,0.2526758,0.008330413,0.007218058,0.4079504,0,0,0
0,492,0.2016195,0.2451434,0.007934251,0.005872678,0.2023677,0.2500656,0.008253902,0.007184442,0.4096162,0,0,0
0,498,0.1985306,0.2426964,0.00786625,0.005857653,0.1990452,0.247426,0.008176569,0.007149421,0.4112437,0,0,0
0,504,0.1954906,0.2402217,0.007797454,0.005841461,0.1957797,0.2447632,0.008098589,0.007113122,0.4128346,0,0,0
0,510,0.1925023,0.237725,0.007728022,0.005824193,0.1925724,0.242083,0.00802013,0.007075672,0.4143721,0,0,0
0,516,0.1895487,0.2352112,0.00765808,0.005805937,0.1893847,0.2393885,0.007941252,0.007037183,0.4157827,0,0,0
0,522,0.1866015,0.2326792,0.007587553,0.005786747,0.1862037,0.2366741,0.007861729,0.006997677,0.4171363,0,0,0
