"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Hydroxy-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Keto-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|N-desalkyl-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Hydroxy-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Keto-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|N-desalkyl-Itraconazole|Concentration in container [µmol/l]","Organism|Lumen|Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Hydroxy-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Keto-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|N-desalkyl-Itraconazole|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,4.246086E-07,3.40389E-09,1.042385E-10,7.415127E-12,3.677196E-06,4.74174E-08,1.627763E-09,2.260321E-10,9.169442E-05,0,0,0
0,6,1.03901E-05,3.612312E-07,1.46928E-08,1.881988E-09,3.838884E-05,1.926457E-06,8.379694E-08,1.958951E-08,0.0004540227,0,0,0
0,9,5.392072E-05,3.627952E-06,1.594103E-07,2.999616E-08,0.0001372711,1.249028E-05,5.792931E-07,1.841699E-07,0.001125953,0,0,0
0,12,0.0001596961,1.577929E-05,7.137367E-07,1.746831E-07,0.0003288653,4.199406E-05,1.995182E-06,7.785966E-07,0.002123012,0,0,0
0,15,0.0003545296,4.52155E-05,2.068994E-06,6.126031E-07,0.0006366344,0.0001014852,4.866574E-06,2.199919E-06,0.003451913,0,0,0
0,18,0.000660974,0.0001013595,4.655232E-06,1.591437E-06,0.001077507,0.0002015828,9.689573E-06,4.891876E-06,0.005083741,0,0,0
0,21,0.001094802,0.0001935914,8.888388E-06,3.398482E-06,0.001660865,0.0003515611,1.687702E-05,9.289362E-06,0.00703095,0,0,0
0,24,0.001668077,0.000330452,1.513184E-05,6.32612E-06,0.002398106,0.0005593483,2.675738E-05,1.577643E-05,0.009307811,0,0,0
0,27,0.002391444,0.0005197878,2.370526E-05,1.064784E-05,0.003297762,0.0008325781,3.96351E-05,2.468921E-05,0.01190998,0,0,0
