"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Hydroxy-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Keto-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|N-desalkyl-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Hydroxy-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Keto-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|N-desalkyl-Itraconazole|Concentration in container [µmol/l]","Organism|Lumen|Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Hydroxy-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Keto-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|N-desalkyl-Itraconazole|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,1.039053E-05,3.612354E-07,1.469292E-08,1.882014E-09,3.839077E-05,1.926516E-06,8.379928E-08,1.958983E-08,0.0004540478,0,0,0
0,12,0.000159704,1.578008E-05,7.13773E-07,1.7469E-07,0.0003288804,4.199616E-05,1.995283E-06,7.786356E-07,0.002123101,0,0,0
0,18,0.0006610009,0.0001013642,4.655453E-06,1.591513E-06,0.001077548,0.0002015913,9.689984E-06,4.892104E-06,0.005083886,0,0,0
0,24,0.00166813,0.0003304649,1.513245E-05,6.326362E-06,0.00239818,0.0005593668,2.675826E-05,1.577703E-05,0.009308055,0,0,0
0,30,0.003273347,0.000769035,3.490087E-05,1.661193E-05,0.004365952,0.001178483,5.578693E-05,3.632393E-05,0.01483181,0,0,0
0,36,0.005534146,0.00147443,6.616821E-05,3.431504E-05,0.007020067,0.002113984,9.881685E-05,6.871705E-05,0.02155318,0,0,0
0,42,0.008438335,0.002493727,0.0001105475,6.081812E-05,0.01027943,0.003403815,0.000156955,0.0001143418,0.02875655,0,0,0
0,48,0.01185528,0.003844135,0.0001682063,9.67357E-05,0.01400052,0.005041068,0.0002291169,0.0001730541,0.03646699,0,0,0
0,54,0.01570182,0.005518339,0.000238232,0.0001416781,0.0181464,0.007013604,0.0003141032,0.0002436138,0.04488141,0,0,0
0,60,0.0199657,0.007515879,0.0003201275,0.0001949343,0.02272989,0.00932813,0.0004117306,0.0003250564,0.05410119,0,0,0
0,66,0.02466309,0.00984808,0.0004139376,0.0002560182,0.02777534,0.01200239,0.0005223058,0.0004169288,0.06416429,0,0,0
0,72,0.02981313,0.01253281,0.0005199481,0.0003247104,0.03330052,0.01505771,0.0006462258,0.000519058,0.07501455,0,0,0
0,78,0.03539686,0.01558787,0.0006384018,0.0004009173,0.03924066,0.01850813,0.0007835435,0.0006312807,0.08616602,0,0,0
0,84,0.04132211,0.0190133,0.0007688125,0.0004843994,0.04550084,0.02233795,0.0009330621,0.0007528932,0.09767152,0,0,0
0,90,0.04753594,0.02279314,0.0009101144,0.0005745389,0.05205882,0.02652732,0.001093541,0.0008827362,0.1096622,0,0,0
0,96,0.05403293,0.02691547,0.001061523,0.0006706068,0.0589251,0.03106843,0.001264384,0.001019833,0.1222025,0,0,0
0,102,0.06082537,0.03137622,0.001222631,0.0007720307,0.06611647,0.03596086,0.001445348,0.001163535,0.1353115,0,0,0
0,108,0.06792607,0.03617544,0.001393224,0.0008784193,0.07364453,0.04120617,0.001636285,0.001313406,0.1489773,0,0,0
0,114,0.07534086,0.04131377,0.001573128,0.0009894926,0.08151139,0.04680438,0.001837006,0.001469094,0.1631691,0,0,0
0,120,0.08306601,0.04678973,0.001762117,0.001105008,0.08970713,0.0527519,0.002047211,0.001630248,0.1778014,0,0,0
0,126,0.09106644,0.05259699,0.001959824,0.001224706,0.09816416,0.0590365,0.002266326,0.001796447,0.1925628,0,0,0
0,132,0.0992615,0.05871556,0.00216545,0.001348232,0.1067979,0.06562612,0.002493101,0.001967035,0.2074628,0,0,0
0,138,0.107593,0.06511309,0.002377827,0.001475058,0.115565,0.07248265,0.002726161,0.002141127,0.2225521,0,0,0
0,144,0.1160318,0.07175671,0.002595859,0.001604568,0.1244447,0.07957304,0.002964414,0.002317849,0.2378553,0,0,0
0,150,0.1245631,0.07861741,0.002818645,0.001736184,0.1334248,0.08686936,0.003207016,0.002496459,0.2533775,0,0,0
0,156,0.1331763,0.08566976,0.003045444,0.001869417,0.1424942,0.09434689,0.003453256,0.002676358,0.2691096,0,0,0
0,162,0.1418603,0.09289118,0.003275629,0.002003872,0.1516393,0.1019832,0.003702515,0.002857062,0.2850326,0,0,0
0,168,0.1506011,0.1002598,0.003508608,0.002139207,0.1608427,0.1097559,0.003954186,0.003038147,0.3011203,0,0,0
0,174,0.1593812,0.1077545,0.003743818,0.002275129,0.1700829,0.1176432,0.004207674,0.003219241,0.3173407,0,0,0
0,180,0.1681784,0.115354,0.003980701,0.002411375,0.1793338,0.1256225,0.004462377,0.003400001,0.3336574,0,0,0
0,186,0.176967,0.1230367,0.004218686,0.002547693,0.1885654,0.1336708,0.004717669,0.003580095,0.3500299,0,0,0
0,192,0.1857167,0.1307803,0.004457188,0.002683844,0.1977418,0.1417643,0.004972904,0.003759205,0.3664088,0,0,0
0,198,0.1943949,0.1385615,0.004695593,0.002819588,0.2068301,0.1498781,0.0052274,0.00393701,0.3827884,0,0,0
0,204,0.2029757,0.1463571,0.004933289,0.002954691,0.2158058,0.1579884,0.005480521,0.004113199,0.3991656,0,0,0
0,210,0.2114345,0.154145,0.005169707,0.003088926,0.2246364,0.166073,0.005731683,0.004287485,0.4154445,0,0,0
0,216,0.2197357,0.1619037,0.005404287,0.003222086,0.2332826,0.1741088,0.005980264,0.004459606,0.4316175,0,0,0
0,222,0.2278466,0.1696101,0.005636429,0.003353968,0.2417111,0.1820719,0.006225619,0.004629298,0.4476573,0,0,0
0,228,0.2357404,0.1772442,0.005865609,0.003484395,0.2498939,0.1899419,0.006467198,0.004796335,0.4635401,0,0,0
0,234,0.2433896,0.1847852,0.006091285,0.003613185,0.2578017,0.1976976,0.006704442,0.004960492,0.4792421,0,0,0
0,240,0.2507678,0.1922128,0.006312932,0.003740165,0.265407,0.2053186,0.006936809,0.005121556,0.4947413,0,0,0
