"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Hydroxy-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Keto-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|N-desalkyl-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Hydroxy-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Keto-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|N-desalkyl-Itraconazole|Concentration in container [µmol/l]","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Hydroxy-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Keto-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|N-desalkyl-Itraconazole|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,0,5.221059E-05,1.796067E-06,7.415194E-08,9.568225E-09,0,0.0001908529,9.519266E-06,4.201404E-07,9.900032E-08,0,0.001100367,0,0,0
0,12,0,0.0007365634,7.424835E-05,3.393688E-06,8.428711E-07,0,0.001456105,0.000193693,9.287837E-06,3.685224E-06,0,0.004314055,0,0,0
0,18,0,0.002597504,0.0004279516,1.971773E-05,6.977004E-06,0,0.003960255,0.0008117401,3.905418E-05,2.048048E-05,0,0.008230663,0,0,0
0,24,0,0.005573788,0.001208922,5.500991E-05,2.413623E-05,0,0.007557653,0.001937808,9.180865E-05,5.658178E-05,0,0.01301421,0,0,0
0,30,0,0.009617241,0.00248027,0.0001108946,5.519475E-05,0,0.01221672,0.003619298,0.0001681737,0.0001135516,0,0.01845737,0,0,0
0,36,0,0.01458337,0.004287534,0.0001881901,0.0001011137,0,0.01770964,0.005880759,0.0002678358,0.0001914222,0,0.02421291,0,0,0
0,42,0,0.02030144,0.006635631,0.0002858823,0.0001614654,0,0.02393506,0.008707589,0.0003887136,0.0002883537,0,0.03047628,0,0,0
0,48,0,0.02673041,0.009526817,0.0004029814,0.0002350246,0,0.03090486,0.0121107,0.0005301632,0.0004024241,0,0.03733356,0,0,0
0,54,0,0.0338779,0.01298128,0.0005393681,0.0003207483,0,0.03861291,0.01611918,0.0006924245,0.0005324725,0,0.04458008,0,0,0
0,60,0,0.04164198,0.01701556,0.0006947975,0.0004179008,0,0.04688706,0.02073369,0.0008745451,0.0006774088,0,0.05195963,0,0,0
0,66,0,0.04987978,0.02161143,0.0008676925,0.0005254778,0,0.05561915,0.02591567,0.001074062,0.0008353048,0,0.05956542,0,0,0
0,72,0,0.05852671,0.02673822,0.001056201,0.0006421098,0,0.06477952,0.03163296,0.001289107,0.001004075,0,0.06745329,0,0,0
0,78,0,0.06756102,0.03237189,0.00125896,0.0007664935,0,0.07434313,0.03786439,0.001518494,0.001182059,0,0.07551564,0,0,0
0,84,0,0.07690493,0.03848787,0.001474752,0.0008975677,0,0.08418638,0.04457594,0.001760699,0.00136788,0,0.08358114,0,0,0
0,90,0,0.08644286,0.04504192,0.001701774,0.001034304,0,0.09419806,0.05170805,0.002013357,0.001559967,0,0.09165083,0,0,0
0,96,0,0.09608715,0.05197716,0.001937932,0.001175565,0,0.1043006,0.05919701,0.002274161,0.001756647,0,0.09972233,0,0,0
0,102,0,0.1057741,0.05923557,0.002181265,0.001320215,0,0.1144356,0.0669824,0.002541103,0.001956382,0,0.1077943,0,0,0
0,108,0,0.1154565,0.06676172,0.002430026,0.00146723,0,0.1245589,0.07500811,0.002812444,0.002157853,0,0.1158673,0,0,0
0,114,0,0.1250985,0.07450414,0.002682689,0.001615729,0,0.1346363,0.0832229,0.003086683,0.002359964,0,0.1239419,0,0,0
0,120,0,0.1346725,0.08241575,0.002937925,0.001764975,0,0.1446403,0.09158047,0.003362533,0.002561815,0,0.132019,0,0,0
0,126,0,0.1441569,0.09045404,0.00319459,0.001914364,0,0.1545489,0.1000393,0.003638888,0.002762674,0,0.1400994,0,0,0
0,132,0,0.1535342,0.09858102,0.0034517,0.002063399,0,0.1643442,0.1085627,0.003914808,0.002961953,0,0.1481844,0,0,0
0,138,0,0.1627905,0.106763,0.003708416,0.002211676,0,0.1740112,0.1171183,0.004189494,0.003159181,0,0.156271,0,0,0
